id,name,screen_name,location,description,followers_count,friends_count,listed_count,favourites_count,statuses_count,verified,created_at,account_age_days,has_location,has_description,domain
733980060726792192,maryam farhad,maryamfarhad201,Iraq,,59,683,0,34,16,False,2016-05-21T11:17:37+00:00,1567,True,False,Business
1103027319478931456,Benjamin AM,Bennyalfr,Worldwide,I will always fight for what is right.,389,525,2,10536,567,False,2019-03-05T20:19:41+00:00,549,True,True,Entertainment
27260086,Justin Bieber,justinbieber,,,112403156,295385,550181,4532,31055,True,2009-03-28T16:41:22+00:00,4178,False,False,Politics;Business;Entertainment;Sports
2425151,Facebook,Facebook,"Menlo Park, California",Our mission is to give people the power to build community and bring the world closer together.,13368883,724,42566,1375,14456,True,2007-03-27T07:29:25+00:00,4910,True,True,Politics;Business
530916347,Mike Shepard,MikeShepard4,"Washington, DC","Managing editor, U.S. Government News for @business. Ex-@washingtonpost. Forever @HoyasMLacrosse. 🇺🇸 & 🇧🇷 at heart. News tips: https://t.co/EGRbUmkXwT",1047,340,19,2909,5394,False,2012-03-20T04:43:59+00:00,3090,True,True,Sports
407340870,Michael Weatherly,M_Weatherly,,fascinated,468215,246,2741,36,3509,True,2011-11-07T23:29:49+00:00,3224,False,True,Sports
186983529,Gersain Zavala,GersainZavala,🇲🇽 UY UY UY UY UY,Student at #ITCM I love my followers. You can be better if you want.,83385,99808,157,5510,109569,False,2010-09-04T23:21:55+00:00,3653,True,True,Sports
259002100,Megan Jacobs,meganajacobs,,Democratic flack; renowned pie baker,529,945,28,111,5269,False,2011-02-28T23:35:05+00:00,3476,False,True,Entertainment
2504903922,Daniela Alfie,daniela_alfie,Mexico City🇲🇽,❣️Instagram : Daniela_Alfie                    ❣️TikTok: Daniela_Alfie      Sigo a TODOS de vuelta,17252,19736,59,63096,99356,False,2014-05-18T16:30:13+00:00,2301,True,True,Business
1954619760,Haylee,Hayleev,,,26122,26743,40,0,500,False,2013-10-11T17:12:55+00:00,2520,False,False,Politics
107213461,arnim holzer,arnimh,United States,Multi Asset/Macro PM. Interested in the why's and how's of correlation defense- follow me. Man of faith. We're here for a purpose. #correlationdefenseworks,199,361,5,5171,3796,False,2010-01-21T21:35:27+00:00,3879,True,True,Sports
13784642,NPR Books,nprbooks,,"NPR Books stories, the future of reading and what to read next, with Books editor @petramatic. Tumblr: http://t.co/BJ66OI69gC. Email: books@npr.org",785806,383,7875,2009,16715,True,2008-02-21T19:34:26+00:00,4579,False,True,Entertainment
895031094088806402,Holly M,HollsBallsSTL,,"Lifelong STL Cardinals fan, professional bridesmaid, tech writer and daughter of the best parents alive. #Romans116",176,297,1,229,697,False,2017-08-08T21:16:56+00:00,1123,False,True,Sports
38164846,Paris Saint-Germain,PSG_inside,"Parc des Princes, Paris",🇺🇸🇬🇧@PSG_English🇪🇸@PSG_Espanol🇧🇷@PSGBrasil🇶🇦@PSG_Arab🇮🇩@PSGIndonesia🇯🇵@PSGJapan👱‍♀️@PSG_Feminines🎮@PSGeSports🥋@PSG_Judo🤾‍♂️@PSGHand,8049872,137,6262,629,60315,True,2009-05-06T12:14:30+00:00,4139,True,True,Politics;Business;Entertainment;Sports
1118569303584968705,Wacko Genius,Guarana100Gas,,,27,774,0,174,173,False,2019-04-17T17:37:58+00:00,506,False,False,Entertainment
49305802,Eaur Beauty,eaurbeauty,New York,Creator of MY SOLEMATE. A top 10 best seller on amazon. Adopt an animal. People lover. Love lover. Fun. Quirky. Crazy. Cute. Me. Never Forget 9/11.,393,697,67,69,2220,False,2009-06-21T12:41:28+00:00,4093,True,True,Politics
217064621,Simon Maloy,SimonMaloy,Just outside the Beltway,"Senior writer, @mmfa. You've also seen me in @TheWeek, @RollingStone, @Salon, @TheProspect -- tweets are my own etc. smaloy@mediamatters.org 202-772-0102",54368,1060,1276,5415,68888,True,2010-11-18T13:53:27+00:00,3578,True,True,Politics;Sports
575565118,Dante Bonfim Costa,dante_bonfim,"Nice, France","The official twitter account of Dante, professional football player at OGC Nice. Twitter oficial do zagueiro Dante do OGC Nice.",1754476,487,1608,112,2836,True,2012-05-09T18:10:16+00:00,3040,True,True,Business;Entertainment;Sports
1052680893255553024,Frank Ricard,FrankRicard17,,"A beer drinker who loves a cold Kavanaugh, livin in flyover country bitchin bout #iubb #iufb and trying to #maga ...""it tastes so good when it hits your lips""",74,692,0,9,503,False,2018-10-17T22:00:57+00:00,688,False,True,Entertainment
434423224,Lil Debbie,L1LDebbie,BAY AREA,BAY CHRONICLES Pre-order Now! https://t.co/GgAw7x1TXH management: dannie@getfamiliar.net,201969,1400,543,11558,63065,True,2011-12-11T21:01:16+00:00,3190,True,True,Business
912265488,MOI - وزارة الإعلام,MOInformation,,الحساب الرسمي لوزارة الإعلام - دولة الكويت The Official account For Ministry of Information - State of Kuwait,147827,5,287,3,19447,True,2012-10-29T11:48:55+00:00,2867,False,True,Business
201909764,ivan,no_tryhard,,,14,24,0,285,32,False,2010-10-12T22:15:09+00:00,3615,False,False,Politics
710775945158909952,Raвιe υllaн©,Rab1e__,"Lahore, Pakistan",I love Tech thats it !,11,166,0,279,72,False,2016-03-18T10:32:45+00:00,1631,True,True,Business
66951177,DhammaAgaligo,DhammaAgaligo,Thailand,,2806745,0,3871,0,4721,False,2009-08-19T08:50:31+00:00,4034,True,False,Sports
20793816,Amazon,amazon,"Seattle, Washington",Official Twitter account of Amazon. Contact @AmazonHelp for customer support. Follow @AmazonNews for the latest news from Amazon.,3361014,50,14990,7105,33434,True,2009-02-13T18:39:54+00:00,4221,True,True,Politics;Business;Entertainment
992483910222262286,Craig Jernberg,CraigJernberg,,"Personal chef, sports fanatic.",59,912,0,65,125,False,2018-05-04T19:19:38+00:00,854,False,True,Entertainment
3051714377,Falowo john idowu,FalowoJohn,Abuja,,121,465,0,2,24,False,2015-02-22T03:53:18+00:00,2021,True,False,Sports
1292511821015011328,Frogy _último Dinossauro,BjcFrogy,Bilene Hood,"Eu Sou um Rapper, compositor e estudante. Porta voz de Tupac Shankur🙏 Real hiphop nas minhas veias❤️ Mixtape A caminho do inferno part2🔥",5,115,0,10,13,False,2020-08-09T17:24:09+00:00,26,True,True,Politics
149119043,Bryn Williams,Brynwchef,north london | north wales,"chef, work enquiries, presenters@curtisbrown.co.uk",15624,762,153,16181,12676,True,2010-05-28T13:22:42+00:00,3752,True,True,Entertainment;Sports
890841483145867264,Rakuten Sports,RakutenSports,,"FAN-TASTIC and exclusive content that’s all about the fans from the sport and entertainment hub of Rakuten, Inc. 📷Instagram: @RakutenSports",19460,45,23,3279,1881,True,2017-07-28T07:48:55+00:00,1134,False,True,Politics
26007890,Susan Saint James,Saintjames46,"iPhone: 41.362907,-70.516632",,4591,330,79,1848,4198,False,2009-03-23T14:16:18+00:00,4183,True,False,Sports
815275309750591488,EVAdoption,EVAdoptionTweet,"Danville, CA","Loren McDonald - EV analyst/writer, https://t.co/QuesZLfsFZ | Available for EV research, EV trend analysis, content marketing, webinar programs",1231,1123,40,4181,10372,False,2016-12-31T19:15:55+00:00,1343,True,True,Business
48829047,Forda,TCF87,,@SouthamptonFC fan.,791,1939,10,6133,12586,False,2009-06-19T21:07:39+00:00,4095,False,True,Sports
2298929849,Manavalan Mahalingam,itsmemanavalan,Chennai,அரசியல் என்பது முழுக்க முழுக்க மக்களுக்கான சேவை!,600,2472,0,657,11386,False,2014-01-23T09:04:05+00:00,2416,True,True,Entertainment
730709048954249216,Kate Valdez,ValdezKate_,Quezon City,Double Chins Are Better Than Double Faces 🎭,162470,105,32,12270,3128,True,2016-05-12T10:39:48+00:00,1576,True,True,Business
2163907389,Jason Lewis,jason_lewisj22,"Leighton Buzzard, England",love saintsfc and Cyprus. all things mod,1431,2903,6,5007,5522,False,2013-11-01T21:27:25+00:00,2499,True,True,Sports
1417251,Press Gazette,pressgazette,"London, UK",News about the world of news. Sign up to our free newsletters here: https://t.co/xt4LlIKaky Find and post jobs: https://t.co/HTxeyt06ba Stories and tips: pged@pressgazette.co.uk,70243,12205,2050,325,40414,True,2007-03-18T14:07:24+00:00,4919,True,True,Entertainment;Sports
713853533632729088,lorens,_gabriellopes10,Rio de Janeiro,@flamengo,738,291,1,29894,19052,False,2016-03-26T22:21:59+00:00,1623,True,True,Politics
38212424,Clyde White,clyde30,,,23,862,0,49,128,False,2009-05-06T16:09:45+00:00,4139,False,False,Entertainment
2697945751,Khurram Nawaz Gandapur,GandapurPAT,Lahore,Secretary General of Pakistan Awami Tehreek @PATofficialPK SWORD OF HONOUR PAKISTAN ARMY Secretary Senate Of Pakistan Committee on Defense & Defence Production,88715,1704,112,38661,36407,True,2014-08-01T10:22:45+00:00,2226,True,True,Business
726163383708487680,Julia Yoq,anmarkova14757,,Hi Guys! Want to look more my video without anything? Find me at link...,73,1073,0,0,9,False,2016-04-29T21:36:56+00:00,1589,False,True,Politics
119491006,Amy Chozick,amychozick,"New York, NY","I write features for The New York Times. Co-creator/executive producer with @julieplec of ""The Girls on the Bus"" coming soon on Netflix. Nicer on Instagram.",59918,1905,1867,24104,13778,True,2010-03-03T20:30:26+00:00,3838,True,True,Politics;Sports
2821727143,Southampton FC Hungary,Soton27,Hungary,Southampton FC magyar szurkolói oldala.  #southampton #saintsfc,126,307,1,34,202,False,2014-09-20T11:24:21+00:00,2176,True,True,Sports
215610793,Ayantunde Adewale (Omo Idowu),adewaleyclassic,lagos Nigeria,Accountant ¤ Hustler ¤ football aficionado and music addicted. #iam cool & fun to be with. #ManUtd,11224,10821,8,22908,10439,False,2010-11-14T12:34:08+00:00,3582,True,True,Entertainment
1252563389504786435,Sley,SleyGz,,¿Qué te digo? Me gusta esto de las cartas.. Amante de @LoRLATAM y fiel seguidor de Ledros. 📧sley_gzz@outlook.com,90,125,1,1626,1021,False,2020-04-21T11:42:47+00:00,136,False,True,Entertainment
